Year,Epiweek,Consweek,Attentions,Temperature,Rainfall,BCSMASS,DMSSMASS,DUSMASS25,SO4SMASS,SSSMASS25,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Rainfall_1,Rainfall_2,Rainfall_3,Rainfall_4,BCSMASS_1,BCSMASS_2,BCSMASS_3,BCSMASS_4,DMSSMASS_1,DMSSMASS_2,DMSSMASS_3,DMSSMASS_4,DUSMASS25_1,DUSMASS25_2,DUSMASS25_3,DUSMASS25_4,SO4SMASS_1,SO4SMASS_2,SO4SMASS_3,SO4SMASS_4,SSSMASS25_1,SSSMASS25_2,SSSMASS25_3,SSSMASS25_4
2009,1,1,39,26.92,1.25,0.16,0.13,2.51,0.81,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,2,2,43,26.7,0.1,0.12,0.12,1.44,0.59,20.5,26.92,NA,NA,NA,1.25,NA,NA,NA,0.16,NA,NA,NA,0.13,NA,NA,NA,2.51,NA,NA,NA,0.81,NA,NA,NA,22,NA,NA,NA
2009,3,3,38,26.46,3.07,0.13,0.08,0.48,0.82,13.2,26.7,26.92,NA,NA,0.1,1.25,NA,NA,0.12,0.16,NA,NA,0.12,0.13,NA,NA,1.44,2.51,NA,NA,0.59,0.81,NA,NA,20.5,22,NA,NA
2009,4,4,34,26.76,0.28,0.11,0.1,1.03,0.43,18.2,26.46,26.7,26.92,NA,3.07,0.1,1.25,NA,0.13,0.12,0.16,NA,0.08,0.12,0.13,NA,0.48,1.44,2.51,NA,0.82,0.59,0.81,NA,13.2,20.5,22,NA
2009,5,5,39,27.06,4.93,0.08,0.11,0.97,0.41,20.2,26.76,26.46,26.7,26.92,0.28,3.07,0.1,1.25,0.11,0.13,0.12,0.16,0.1,0.08,0.12,0.13,1.03,0.48,1.44,2.51,0.43,0.82,0.59,0.81,18.2,13.2,20.5,22
2009,6,6,33,26.98,0.62,0.09,0.1,1.36,0.47,20.1,27.06,26.76,26.46,26.7,4.93,0.28,3.07,0.1,0.08,0.11,0.13,0.12,0.11,0.1,0.08,0.12,0.97,1.03,0.48,1.44,0.41,0.43,0.82,0.59,20.2,18.2,13.2,20.5
2009,7,7,37,26.93,0.4,0.12,0.09,2.2,0.64,18.3,26.98,27.06,26.76,26.46,0.62,4.93,0.28,3.07,0.09,0.08,0.11,0.13,0.1,0.11,0.1,0.08,1.36,0.97,1.03,0.48,0.47,0.41,0.43,0.82,20.1,20.2,18.2,13.2
2009,8,8,46,26.93,1.03,0.15,0.09,2.01,0.68,20,26.93,26.98,27.06,26.76,0.4,0.62,4.93,0.28,0.12,0.09,0.08,0.11,0.09,0.1,0.11,0.1,2.2,1.36,0.97,1.03,0.64,0.47,0.41,0.43,18.3,20.1,20.2,18.2
2009,9,9,57,26.84,3.71,0.12,0.09,1.04,0.7,18.5,26.93,26.93,26.98,27.06,1.03,0.4,0.62,4.93,0.15,0.12,0.09,0.08,0.09,0.09,0.1,0.11,2.01,2.2,1.36,0.97,0.68,0.64,0.47,0.41,20,18.3,20.1,20.2
2009,10,10,53,26.35,0.11,0.25,0.09,1.8,0.98,20.5,26.84,26.93,26.93,26.98,3.71,1.03,0.4,0.62,0.12,0.15,0.12,0.09,0.09,0.09,0.09,0.1,1.04,2.01,2.2,1.36,0.7,0.68,0.64,0.47,18.5,20,18.3,20.1
