Year,Epiweek,Consweek,Attentions,Temperature,Rainfall,BCSMASS,DMSSMASS,DUSMASS25,SO4SMASS,SSSMASS25,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Rainfall_1,Rainfall_2,Rainfall_3,Rainfall_4,BCSMASS_1,BCSMASS_2,BCSMASS_3,BCSMASS_4,DMSSMASS_1,DMSSMASS_2,DMSSMASS_3,DMSSMASS_4,DUSMASS25_1,DUSMASS25_2,DUSMASS25_3,DUSMASS25_4,SO4SMASS_1,SO4SMASS_2,SO4SMASS_3,SO4SMASS_4,SSSMASS25_1,SSSMASS25_2,SSSMASS25_3,SSSMASS25_4
2009,1,1,678,18.24,62.64,0.35,0,1.23,0.82,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,2,2,564,17.75,53.44,0.38,0,0.24,1.47,3.01,18.24,NA,NA,NA,62.64,NA,NA,NA,0.35,NA,NA,NA,0,NA,NA,NA,1.23,NA,NA,NA,0.82,NA,NA,NA,2.33,NA,NA,NA
2009,3,3,594,17.42,86.78,0.44,0,0.11,1.45,1.38,17.75,18.24,NA,NA,53.44,62.64,NA,NA,0.38,0.35,NA,NA,0,0,NA,NA,0.24,1.23,NA,NA,1.47,0.82,NA,NA,3.01,2.33,NA,NA
2009,4,4,537,17.61,45.35,0.39,0,0.21,1.75,2.71,17.42,17.75,18.24,NA,86.78,53.44,62.64,NA,0.44,0.38,0.35,NA,0,0,0,NA,0.11,0.24,1.23,NA,1.45,1.47,0.82,NA,1.38,3.01,2.33,NA
2009,5,5,584,18.24,36.87,0.31,0,0.24,0.9,2.18,17.61,17.42,17.75,18.24,45.35,86.78,53.44,62.64,0.39,0.44,0.38,0.35,0,0,0,0,0.21,0.11,0.24,1.23,1.75,1.45,1.47,0.82,2.71,1.38,3.01,2.33
2009,6,6,584,18.22,32.3,0.33,0,0.21,1.3,2.45,18.24,17.61,17.42,17.75,36.87,45.35,86.78,53.44,0.31,0.39,0.44,0.38,0,0,0,0,0.24,0.21,0.11,0.24,0.9,1.75,1.45,1.47,2.18,2.71,1.38,3.01
2009,7,7,950,17.63,57.97,0.39,0,1.87,1.7,2.71,18.22,18.24,17.61,17.42,32.3,36.87,45.35,86.78,0.33,0.31,0.39,0.44,0,0,0,0,0.21,0.24,0.21,0.11,1.3,0.9,1.75,1.45,2.45,2.18,2.71,1.38
2009,8,8,807,18.01,31.08,0.54,0,0.7,1.75,3.99,17.63,18.22,18.24,17.61,57.97,32.3,36.87,45.35,0.39,0.33,0.31,0.39,0,0,0,0,1.87,0.21,0.24,0.21,1.7,1.3,0.9,1.75,2.71,2.45,2.18,2.71
2009,9,9,1198,18.34,33.73,0.61,0,0.33,1.29,2.46,18.01,17.63,18.22,18.24,31.08,57.97,32.3,36.87,0.54,0.39,0.33,0.31,0,0,0,0,0.7,1.87,0.21,0.24,1.75,1.7,1.3,0.9,3.99,2.71,2.45,2.18
2009,10,10,1124,18.31,35.9,0.78,0,0.43,3.14,5.27,18.34,18.01,17.63,18.22,33.73,31.08,57.97,32.3,0.61,0.54,0.39,0.33,0,0,0,0,0.33,0.7,1.87,0.21,1.29,1.75,1.7,1.3,2.46,3.99,2.71,2.45
