Year,Epiweek,Consweek,Attentions,Temperature,Rainfall,BCSMASS,DMSSMASS,DUSMASS25,SO4SMASS,SSSMASS25,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Rainfall_1,Rainfall_2,Rainfall_3,Rainfall_4,BCSMASS_1,BCSMASS_2,BCSMASS_3,BCSMASS_4,DMSSMASS_1,DMSSMASS_2,DMSSMASS_3,DMSSMASS_4,DUSMASS25_1,DUSMASS25_2,DUSMASS25_3,DUSMASS25_4,SO4SMASS_1,SO4SMASS_2,SO4SMASS_3,SO4SMASS_4,SSSMASS25_1,SSSMASS25_2,SSSMASS25_3,SSSMASS25_4
2009,1,1,273,19.03,83.26,0.3,0.01,0.76,1.52,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,2,2,229,18.83,92.05,0.27,0.02,0.32,1.31,2.17,19.03,NA,NA,NA,83.26,NA,NA,NA,0.3,NA,NA,NA,0.01,NA,NA,NA,0.76,NA,NA,NA,1.52,NA,NA,NA,2.37,NA,NA,NA
2009,3,3,217,18.87,91.66,0.34,0,0.09,1.38,1.3,18.83,19.03,NA,NA,92.05,83.26,NA,NA,0.27,0.3,NA,NA,0.02,0.01,NA,NA,0.32,0.76,NA,NA,1.31,1.52,NA,NA,2.17,2.37,NA,NA
2009,4,4,197,18.88,104.61,0.34,0.01,0.18,2.17,3.1,18.87,18.83,19.03,NA,91.66,92.05,83.26,NA,0.34,0.27,0.3,NA,0,0.02,0.01,NA,0.09,0.32,0.76,NA,1.38,1.31,1.52,NA,1.3,2.17,2.37,NA
2009,5,5,188,19.67,69.47,0.33,0.01,0.19,1.66,3.79,18.88,18.87,18.83,19.03,104.61,91.66,92.05,83.26,0.34,0.34,0.27,0.3,0.01,0,0.02,0.01,0.18,0.09,0.32,0.76,2.17,1.38,1.31,1.52,3.1,1.3,2.17,2.37
2009,6,6,198,19.48,68.47,0.34,0,0.24,1.68,2.58,19.67,18.88,18.87,18.83,69.47,104.61,91.66,92.05,0.33,0.34,0.34,0.27,0.01,0.01,0,0.02,0.19,0.18,0.09,0.32,1.66,2.17,1.38,1.31,3.79,3.1,1.3,2.17
2009,7,7,203,19.45,34.85,0.34,0.01,1.01,0.94,2.55,19.48,19.67,18.88,18.87,68.47,69.47,104.61,91.66,0.34,0.33,0.34,0.34,0,0.01,0.01,0,0.24,0.19,0.18,0.09,1.68,1.66,2.17,1.38,2.58,3.79,3.1,1.3
2009,8,8,214,19.42,113.53,0.53,0.01,0.74,3.01,4.03,19.45,19.48,19.67,18.88,34.85,68.47,69.47,104.61,0.34,0.34,0.33,0.34,0.01,0,0.01,0.01,1.01,0.24,0.19,0.18,0.94,1.68,1.66,2.17,2.55,2.58,3.79,3.1
2009,9,9,194,19.82,65.21,0.5,0.01,0.31,1.83,3,19.42,19.45,19.48,19.67,113.53,34.85,68.47,69.47,0.53,0.34,0.34,0.33,0.01,0.01,0,0.01,0.74,1.01,0.24,0.19,3.01,0.94,1.68,1.66,4.03,2.55,2.58,3.79
2009,10,10,193,19.91,37.42,0.4,0,0.34,1.51,3.4,19.82,19.42,19.45,19.48,65.21,113.53,34.85,68.47,0.5,0.53,0.34,0.34,0.01,0.01,0.01,0,0.31,0.74,1.01,0.24,1.83,3.01,0.94,1.68,3,4.03,2.55,2.58
