Year,Epiweek,Consweek,Attentions,Temperature,Rainfall,BCSMASS,DMSSMASS,DUSMASS25,SO4SMASS,SSSMASS25,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Rainfall_1,Rainfall_2,Rainfall_3,Rainfall_4,BCSMASS_1,BCSMASS_2,BCSMASS_3,BCSMASS_4,DMSSMASS_1,DMSSMASS_2,DMSSMASS_3,DMSSMASS_4,DUSMASS25_1,DUSMASS25_2,DUSMASS25_3,DUSMASS25_4,SO4SMASS_1,SO4SMASS_2,SO4SMASS_3,SO4SMASS_4,SSSMASS25_1,SSSMASS25_2,SSSMASS25_3,SSSMASS25_4
2009,1,1,41,27.29,4.36,0.19,0.1,2.33,0.92,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,2,2,49,27.16,0.37,0.16,0.09,1.35,0.62,20.9,27.29,NA,NA,NA,4.36,NA,NA,NA,0.19,NA,NA,NA,0.1,NA,NA,NA,2.33,NA,NA,NA,0.92,NA,NA,NA,22.4,NA,NA,NA
2009,3,3,48,26.87,3.37,0.14,0.07,0.41,0.82,12.8,27.16,27.29,NA,NA,0.37,4.36,NA,NA,0.16,0.19,NA,NA,0.09,0.1,NA,NA,1.35,2.33,NA,NA,0.62,0.92,NA,NA,20.9,22.4,NA,NA
2009,4,4,42,27.15,1.04,0.13,0.08,0.94,0.48,19.1,26.87,27.16,27.29,NA,3.37,0.37,4.36,NA,0.14,0.16,0.19,NA,0.07,0.09,0.1,NA,0.41,1.35,2.33,NA,0.82,0.62,0.92,NA,12.8,20.9,22.4,NA
2009,5,5,33,27.37,4.58,0.1,0.1,0.84,0.43,20.7,27.15,26.87,27.16,27.29,1.04,3.37,0.37,4.36,0.13,0.14,0.16,0.19,0.08,0.07,0.09,0.1,0.94,0.41,1.35,2.33,0.48,0.82,0.62,0.92,19.1,12.8,20.9,22.4
2009,6,6,70,27.43,0.43,0.13,0.09,1.25,0.54,21.2,27.37,27.15,26.87,27.16,4.58,1.04,3.37,0.37,0.1,0.13,0.14,0.16,0.1,0.08,0.07,0.09,0.84,0.94,0.41,1.35,0.43,0.48,0.82,0.62,20.7,19.1,12.8,20.9
2009,7,7,51,27.53,0.61,0.16,0.07,2.2,0.7,18.8,27.43,27.37,27.15,26.87,0.43,4.58,1.04,3.37,0.13,0.1,0.13,0.14,0.09,0.1,0.08,0.07,1.25,0.84,0.94,0.41,0.54,0.43,0.48,0.82,21.2,20.7,19.1,12.8
2009,8,8,88,27.6,1.3,0.19,0.07,1.94,0.79,20.8,27.53,27.43,27.37,27.15,0.61,0.43,4.58,1.04,0.16,0.13,0.1,0.13,0.07,0.09,0.1,0.08,2.2,1.25,0.84,0.94,0.7,0.54,0.43,0.48,18.8,21.2,20.7,19.1
2009,9,9,97,27.41,3.08,0.15,0.07,0.9,0.72,19,27.6,27.53,27.43,27.37,1.3,0.61,0.43,4.58,0.19,0.16,0.13,0.1,0.07,0.07,0.09,0.1,1.94,2.2,1.25,0.84,0.79,0.7,0.54,0.43,20.8,18.8,21.2,20.7
2009,10,10,74,27.01,0.09,0.33,0.07,1.72,1.07,21.8,27.41,27.6,27.53,27.43,3.08,1.3,0.61,0.43,0.15,0.19,0.16,0.13,0.07,0.07,0.07,0.09,0.9,1.94,2.2,1.25,0.72,0.79,0.7,0.54,19,20.8,18.8,21.2
2009,11,11,84,27.26,1.94,0.2,0.06,1.14,0.74,18,27.01,27.41,27.6,27.53,0.09,3.08,1.3,0.61,0.33,0.15,0.19,0.16,0.07,0.07,0.07,0.07,1.72,0.9,1.94,2.2,1.07,0.72,0.79,0.7,21.8,19,20.8,18.8
2009,12,12,61,27.78,3.27,0.23,0.06,1.33,1.42,20.6,27.26,27.01,27.41,27.6,1.94,0.09,3.08,1.3,0.2,0.33,0.15,0.19,0.06,0.07,0.07,0.07,1.14,1.72,0.9,1.94,0.74,1.07,0.72,0.79,18,21.8,19,20.8
