Year,Epiweek,Consweek,Attentions,Temperature,Rainfall,BCSMASS,DMSSMASS,DUSMASS25,SO4SMASS,SSSMASS25,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Rainfall_1,Rainfall_2,Rainfall_3,Rainfall_4,BCSMASS_1,BCSMASS_2,BCSMASS_3,BCSMASS_4,DMSSMASS_1,DMSSMASS_2,DMSSMASS_3,DMSSMASS_4,DUSMASS25_1,DUSMASS25_2,DUSMASS25_3,DUSMASS25_4,SO4SMASS_1,SO4SMASS_2,SO4SMASS_3,SO4SMASS_4,SSSMASS25_1,SSSMASS25_2,SSSMASS25_3,SSSMASS25_4
2009,1,1,296,16.79,141.78,0.42,0.01,0.81,1.4,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,2,2,256,16.44,209.67,0.4,0.01,0.31,1.57,2.12,16.79,NA,NA,NA,141.78,NA,NA,NA,0.42,NA,NA,NA,0.01,NA,NA,NA,0.81,NA,NA,NA,1.4,NA,NA,NA,2.13,NA,NA,NA
2009,3,3,235,16.2,257.9,0.42,0,0.11,1.55,1.3,16.44,16.79,NA,NA,209.67,141.78,NA,NA,0.4,0.42,NA,NA,0.01,0.01,NA,NA,0.31,0.81,NA,NA,1.57,1.4,NA,NA,2.12,2.13,NA,NA
2009,4,4,232,16.46,111.7,0.4,0,0.21,1.81,2.84,16.2,16.44,16.79,NA,257.9,209.67,141.78,NA,0.42,0.4,0.42,NA,0,0.01,0.01,NA,0.11,0.31,0.81,NA,1.55,1.57,1.4,NA,1.3,2.12,2.13,NA
2009,5,5,192,16.96,48.88,0.33,0,0.2,1.23,2,16.46,16.2,16.44,16.79,111.7,257.9,209.67,141.78,0.4,0.42,0.4,0.42,0,0,0.01,0.01,0.21,0.11,0.31,0.81,1.81,1.55,1.57,1.4,2.84,1.3,2.12,2.13
2009,6,6,254,16.58,143.2,0.42,0,0.21,1.91,1.98,16.96,16.46,16.2,16.44,48.88,111.7,257.9,209.67,0.33,0.4,0.42,0.4,0,0,0,0.01,0.2,0.21,0.11,0.31,1.23,1.81,1.55,1.57,2,2.84,1.3,2.12
2009,7,7,312,16.35,163.79,0.4,0,1.39,1.33,2.24,16.58,16.96,16.46,16.2,143.2,48.88,111.7,257.9,0.42,0.33,0.4,0.42,0,0,0,0,0.21,0.2,0.21,0.11,1.91,1.23,1.81,1.55,1.98,2,2.84,1.3
2009,8,8,356,16.7,137.69,0.51,0,0.86,2.16,3.54,16.35,16.58,16.96,16.46,163.79,143.2,48.88,111.7,0.4,0.42,0.33,0.4,0,0,0,0,1.39,0.21,0.2,0.21,1.33,1.91,1.23,1.81,2.24,1.98,2,2.84
2009,9,9,429,16.64,160.31,0.42,0,0.37,1.61,2.5,16.7,16.35,16.58,16.96,137.69,163.79,143.2,48.88,0.51,0.4,0.42,0.33,0,0,0,0,0.86,1.39,0.21,0.2,2.16,1.33,1.91,1.23,3.54,2.24,1.98,2
2009,10,10,423,17.18,169.6,0.67,0,0.52,2.5,4.54,16.64,16.7,16.35,16.58,160.31,137.69,163.79,143.2,0.42,0.51,0.4,0.42,0,0,0,0,0.37,0.86,1.39,0.21,1.61,2.16,1.33,1.91,2.5,3.54,2.24,1.98
2009,11,11,407,16.85,230.29,0.6,0,0.41,2.25,2.46,17.18,16.64,16.7,16.35,169.6,160.31,137.69,163.79,0.67,0.42,0.51,0.4,0,0,0,0,0.52,0.37,0.86,1.39,2.5,1.61,2.16,1.33,4.54,2.5,3.54,2.24
2009,12,12,389,16.78,257.98,0.43,0,0.29,1.91,1.97,16.85,17.18,16.64,16.7,230.29,169.6,160.31,137.69,0.6,0.67,0.42,0.51,0,0,0,0,0.41,0.52,0.37,0.86,2.25,2.5,1.61,2.16,2.46,4.54,2.5,3.54
2009,13,13,432,16.66,277.99,0.44,0,0.35,1.54,1.62,16.78,16.85,17.18,16.64,257.98,230.29,169.6,160.31,0.43,0.6,0.67,0.42,0,0,0,0,0.29,0.41,0.52,0.37,1.91,2.25,2.5,1.61,1.97,2.46,4.54,2.5
2009,14,14,354,17.09,135.48,0.59,0,0.39,1.8,2.38,16.66,16.78,16.85,17.18,277.99,257.98,230.29,169.6,0.44,0.43,0.6,0.67,0,0,0,0,0.35,0.29,0.41,0.52,1.54,1.91,2.25,2.5,1.62,1.97,2.46,4.54
2009,15,15,378,17.18,116.24,0.48,0,0.48,1.35,1.66,17.09,16.66,16.78,16.85,135.48,277.99,257.98,230.29,0.59,0.44,0.43,0.6,0,0,0,0,0.39,0.35,0.29,0.41,1.8,1.54,1.91,2.25,2.38,1.62,1.97,2.46
2009,16,16,436,17.47,73.15,0.37,0,0.32,1.17,1.33,17.18,17.09,16.66,16.78,116.24,135.48,277.99,257.98,0.48,0.59,0.44,0.43,0,0,0,0,0.48,0.39,0.35,0.29,1.35,1.8,1.54,1.91,1.66,2.38,1.62,1.97
2009,17,17,442,17.23,229.86,0.46,0,0.35,1.75,1.89,17.47,17.18,17.09,16.66,73.15,116.24,135.48,277.99,0.37,0.48,0.59,0.44,0,0,0,0,0.32,0.48,0.39,0.35,1.17,1.35,1.8,1.54,1.33,1.66,2.38,1.62
2009,18,18,406,16.53,206.31,0.3,0,0.53,1.52,0.19,17.23,17.47,17.18,17.09,229.86,73.15,116.24,135.48,0.46,0.37,0.48,0.59,0,0,0,0,0.35,0.32,0.48,0.39,1.75,1.17,1.35,1.8,1.89,1.33,1.66,2.38
2009,19,19,426,16.85,196.47,0.35,0,1.89,1.87,0.74,16.53,17.23,17.47,17.18,206.31,229.86,73.15,116.24,0.3,0.46,0.37,0.48,0,0,0,0,0.53,0.35,0.32,0.48,1.52,1.75,1.17,1.35,0.19,1.89,1.33,1.66
2009,20,20,457,17.12,73.98,0.35,0,0.77,1.59,0.72,16.85,16.53,17.23,17.47,196.47,206.31,229.86,73.15,0.35,0.3,0.46,0.37,0,0,0,0,1.89,0.53,0.35,0.32,1.87,1.52,1.75,1.17,0.74,0.19,1.89,1.33
2009,21,21,352,16.66,85.96,0.36,0,2.35,1.17,0.8,17.12,16.85,16.53,17.23,73.98,196.47,206.31,229.86,0.35,0.35,0.3,0.46,0,0,0,0,0.77,1.89,0.53,0.35,1.59,1.87,1.52,1.75,0.72,0.74,0.19,1.89
2009,22,22,431,17.32,60.87,0.35,0,2.56,0.98,0.8,16.66,17.12,16.85,16.53,85.96,73.98,196.47,206.31,0.36,0.35,0.35,0.3,0,0,0,0,2.35,0.77,1.89,0.53,1.17,1.59,1.87,1.52,0.8,0.72,0.74,0.19
2009,23,23,435,16.83,140.29,0.34,0,1.08,1.2,0.26,17.32,16.66,17.12,16.85,60.87,85.96,73.98,196.47,0.35,0.36,0.35,0.35,0,0,0,0,2.56,2.35,0.77,1.89,0.98,1.17,1.59,1.87,0.8,0.8,0.72,0.74
2009,24,24,404,16.61,72.03,0.35,0,2.95,0.99,0.7,16.83,17.32,16.66,17.12,140.29,60.87,85.96,73.98,0.34,0.35,0.36,0.35,0,0,0,0,1.08,2.56,2.35,0.77,1.2,0.98,1.17,1.59,0.26,0.8,0.8,0.72
2009,25,25,395,16.57,108.67,0.34,0,0.68,0.92,0.26,16.61,16.83,17.32,16.66,72.03,140.29,60.87,85.96,0.35,0.34,0.35,0.36,0,0,0,0,2.95,1.08,2.56,2.35,0.99,1.2,0.98,1.17,0.7,0.26,0.8,0.8
2009,26,26,341,16.7,68.29,0.3,0,1.32,0.79,0.27,16.57,16.61,16.83,17.32,108.67,72.03,140.29,60.87,0.34,0.35,0.34,0.35,0,0,0,0,0.68,2.95,1.08,2.56,0.92,0.99,1.2,0.98,0.26,0.7,0.26,0.8
2009,27,27,339,16.85,49.39,0.33,0,2.13,0.94,0.93,16.7,16.57,16.61,16.83,68.29,108.67,72.03,140.29,0.3,0.34,0.35,0.34,0,0,0,0,1.32,0.68,2.95,1.08,0.79,0.92,0.99,1.2,0.27,0.26,0.7,0.26
2009,28,28,413,17.77,33.62,0.32,0,1.56,0.82,0.36,16.85,16.7,16.57,16.61,49.39,68.29,108.67,72.03,0.33,0.3,0.34,0.35,0,0,0,0,2.13,1.32,0.68,2.95,0.94,0.79,0.92,0.99,0.93,0.27,0.26,0.7
2009,29,29,442,17.57,48.47,0.3,0,1.26,0.86,0.64,17.77,16.85,16.7,16.57,33.62,49.39,68.29,108.67,0.32,0.33,0.3,0.34,0,0,0,0,1.56,2.13,1.32,0.68,0.82,0.94,0.79,0.92,0.36,0.93,0.27,0.26
2009,30,30,455,17.92,59.17,0.36,0,1.57,0.7,0.79,17.57,17.77,16.85,16.7,48.47,33.62,49.39,68.29,0.3,0.32,0.33,0.3,0,0,0,0,1.26,1.56,2.13,1.32,0.86,0.82,0.94,0.79,0.64,0.36,0.93,0.27
2009,31,31,393,17.41,61.96,0.38,0,1.27,0.95,0.53,17.92,17.57,17.77,16.85,59.17,48.47,33.62,49.39,0.36,0.3,0.32,0.33,0,0,0,0,1.57,1.26,1.56,2.13,0.7,0.86,0.82,0.94,0.79,0.64,0.36,0.93
2009,32,32,409,17.41,62.88,0.37,0,0.87,1.1,0.61,17.41,17.92,17.57,17.77,61.96,59.17,48.47,33.62,0.38,0.36,0.3,0.32,0,0,0,0,1.27,1.57,1.26,1.56,0.95,0.7,0.86,0.82,0.53,0.79,0.64,0.36
2009,33,33,370,17,119.37,0.36,0.01,0.76,1.04,1.15,17.41,17.41,17.92,17.57,62.88,61.96,59.17,48.47,0.37,0.38,0.36,0.3,0,0,0,0,0.87,1.27,1.57,1.26,1.1,0.95,0.7,0.86,0.61,0.53,0.79,0.64
2009,34,34,422,17.54,79.42,0.37,0,1.47,1.18,1.1,17,17.41,17.41,17.92,119.37,62.88,61.96,59.17,0.36,0.37,0.38,0.36,0.01,0,0,0,0.76,0.87,1.27,1.57,1.04,1.1,0.95,0.7,1.15,0.61,0.53,0.79
2009,35,35,410,17.92,68.57,0.34,0,1.39,0.96,1.36,17.54,17,17.41,17.41,79.42,119.37,62.88,61.96,0.37,0.36,0.37,0.38,0,0.01,0,0,1.47,0.76,0.87,1.27,1.18,1.04,1.1,0.95,1.1,1.15,0.61,0.53
2009,36,36,387,17.7,60.93,0.38,0,1.9,1.1,3.16,17.92,17.54,17,17.41,68.57,79.42,119.37,62.88,0.34,0.37,0.36,0.37,0,0,0.01,0,1.39,1.47,0.76,0.87,0.96,1.18,1.04,1.1,1.36,1.1,1.15,0.61
2009,37,37,339,16.96,164.32,0.35,0.01,0.37,1.26,0.45,17.7,17.92,17.54,17,60.93,68.57,79.42,119.37,0.38,0.34,0.37,0.36,0,0,0,0.01,1.9,1.39,1.47,0.76,1.1,0.96,1.18,1.04,3.16,1.36,1.1,1.15
2009,38,38,296,17.69,72.14,0.41,0,0.34,0.99,1.26,16.96,17.7,17.92,17.54,164.32,60.93,68.57,79.42,0.35,0.38,0.34,0.37,0.01,0,0,0,0.37,1.9,1.39,1.47,1.26,1.1,0.96,1.18,0.45,3.16,1.36,1.1
2009,39,39,305,17.85,89.98,0.5,0,1.16,1.4,2.18,17.69,16.96,17.7,17.92,72.14,164.32,60.93,68.57,0.41,0.35,0.38,0.34,0,0.01,0,0,0.34,0.37,1.9,1.39,0.99,1.26,1.1,0.96,1.26,0.45,3.16,1.36
2009,40,40,280,17.49,98.46,0.39,0,0.5,1.13,1.24,17.85,17.69,16.96,17.7,89.98,72.14,164.32,60.93,0.5,0.41,0.35,0.38,0,0,0.01,0,1.16,0.34,0.37,1.9,1.4,0.99,1.26,1.1,2.18,1.26,0.45,3.16
2009,41,41,239,16.43,210.04,0.33,0.01,0.91,1.42,1.36,17.49,17.85,17.69,16.96,98.46,89.98,72.14,164.32,0.39,0.5,0.41,0.35,0,0,0,0.01,0.5,1.16,0.34,0.37,1.13,1.4,0.99,1.26,1.24,2.18,1.26,0.45
2009,42,42,254,16.63,275.75,0.33,0.01,0.38,1.48,1.01,16.43,17.49,17.85,17.69,210.04,98.46,89.98,72.14,0.33,0.39,0.5,0.41,0.01,0,0,0,0.91,0.5,1.16,0.34,1.42,1.13,1.4,0.99,1.36,1.24,2.18,1.26
2009,43,43,229,16.42,284.95,0.38,0.01,0.33,2.34,0.92,16.63,16.43,17.49,17.85,275.75,210.04,98.46,89.98,0.33,0.33,0.39,0.5,0.01,0.01,0,0,0.38,0.91,0.5,1.16,1.48,1.42,1.13,1.4,1.01,1.36,1.24,2.18
2009,44,44,321,15.87,249.12,0.3,0.01,0.09,0.89,0.33,16.42,16.63,16.43,17.49,284.95,275.75,210.04,98.46,0.38,0.33,0.33,0.39,0.01,0.01,0.01,0,0.33,0.38,0.91,0.5,2.34,1.48,1.42,1.13,0.92,1.01,1.36,1.24
2009,45,45,366,16.56,227.04,0.39,0.01,0.21,1.51,0.53,15.87,16.42,16.63,16.43,249.12,284.95,275.75,210.04,0.3,0.38,0.33,0.33,0.01,0.01,0.01,0.01,0.09,0.33,0.38,0.91,0.89,2.34,1.48,1.42,0.33,0.92,1.01,1.36
2009,46,46,365,17.17,175.31,0.38,0.01,0.16,1.46,0.66,16.56,15.87,16.42,16.63,227.04,249.12,284.95,275.75,0.39,0.3,0.38,0.33,0.01,0.01,0.01,0.01,0.21,0.09,0.33,0.38,1.51,0.89,2.34,1.48,0.53,0.33,0.92,1.01
2009,47,47,446,17.16,129.84,0.4,0.01,0.57,1.85,1.45,17.17,16.56,15.87,16.42,175.31,227.04,249.12,284.95,0.38,0.39,0.3,0.38,0.01,0.01,0.01,0.01,0.16,0.21,0.09,0.33,1.46,1.51,0.89,2.34,0.66,0.53,0.33,0.92
2009,48,48,447,17.39,93.12,0.39,0,0.76,1.93,2.4,17.16,17.17,16.56,15.87,129.84,175.31,227.04,249.12,0.4,0.38,0.39,0.3,0.01,0.01,0.01,0.01,0.57,0.16,0.21,0.09,1.85,1.46,1.51,0.89,1.45,0.66,0.53,0.33
2009,49,49,408,17.19,87.47,0.35,0,0.37,1.16,2.04,17.39,17.16,17.17,16.56,93.12,129.84,175.31,227.04,0.39,0.4,0.38,0.39,0,0.01,0.01,0.01,0.76,0.57,0.16,0.21,1.93,1.85,1.46,1.51,2.4,1.45,0.66,0.53
2009,50,50,408,16.73,115.27,0.4,0,0.31,1.81,2.92,17.19,17.39,17.16,17.17,87.47,93.12,129.84,175.31,0.35,0.39,0.4,0.38,0,0,0.01,0.01,0.37,0.76,0.57,0.16,1.16,1.93,1.85,1.46,2.04,2.4,1.45,0.66
2009,51,51,332,16.6,252.76,0.41,0,0.17,1.63,1.02,16.73,17.19,17.39,17.16,115.27,87.47,93.12,129.84,0.4,0.35,0.39,0.4,0,0,0,0.01,0.31,0.37,0.76,0.57,1.81,1.16,1.93,1.85,2.92,2.04,2.4,1.45
2009,52,52,407,16.68,43.29,0.37,0,0.24,1.59,1.92,16.6,16.73,17.19,17.39,252.76,115.27,87.47,93.12,0.41,0.4,0.35,0.39,0,0,0,0,0.17,0.31,0.37,0.76,1.63,1.81,1.16,1.93,1.02,2.92,2.04,2.4
2010,1,53,532,16.72,6.22,0.4,0,0.33,1.45,2.98,16.68,16.6,16.73,17.19,43.29,252.76,115.27,87.47,0.37,0.41,0.4,0.35,0,0,0,0,0.24,0.17,0.31,0.37,1.59,1.63,1.81,1.16,1.92,1.02,2.92,2.04
2010,2,54,450,17.25,9.57,0.43,0,0.38,1.51,4.53,16.72,16.68,16.6,16.73,6.22,43.29,252.76,115.27,0.4,0.37,0.41,0.4,0,0,0,0,0.33,0.24,0.17,0.31,1.45,1.59,1.63,1.81,2.98,1.92,1.02,2.92
2010,3,55,401,18.08,46.61,0.49,0,0.61,1.48,5.35,17.25,16.72,16.68,16.6,9.57,6.22,43.29,252.76,0.43,0.4,0.37,0.41,0,0,0,0,0.38,0.33,0.24,0.17,1.51,1.45,1.59,1.63,4.53,2.98,1.92,1.02
2010,4,56,384,17.27,208.86,0.53,0,1.44,2.09,6.24,18.08,17.25,16.72,16.68,46.61,9.57,6.22,43.29,0.49,0.43,0.4,0.37,0,0,0,0,0.61,0.38,0.33,0.24,1.48,1.51,1.45,1.59,5.35,4.53,2.98,1.92
2010,5,57,445,18.84,41.32,0.57,0,0.74,1.89,7.51,17.27,18.08,17.25,16.72,208.86,46.61,9.57,6.22,0.53,0.49,0.43,0.4,0,0,0,0,1.44,0.61,0.38,0.33,2.09,1.48,1.51,1.45,6.24,5.35,4.53,2.98
2010,6,58,396,18.04,67.28,0.56,0,1.44,1.89,6.15,18.84,17.27,18.08,17.25,41.32,208.86,46.61,9.57,0.57,0.53,0.49,0.43,0,0,0,0,0.74,1.44,0.61,0.38,1.89,2.09,1.48,1.51,7.51,6.24,5.35,4.53
2010,7,59,509,18.84,49.13,0.83,0,2.18,1.85,6.75,18.04,18.84,17.27,18.08,67.28,41.32,208.86,46.61,0.56,0.57,0.53,0.49,0,0,0,0,1.44,0.74,1.44,0.61,1.89,1.89,2.09,1.48,6.15,7.51,6.24,5.35
2010,8,60,524,17.8,116.59,0.71,0,1,2.06,5.82,18.84,18.04,18.84,17.27,49.13,67.28,41.32,208.86,0.83,0.56,0.57,0.53,0,0,0,0,2.18,1.44,0.74,1.44,1.85,1.89,1.89,2.09,6.75,6.15,7.51,6.24
2010,9,61,556,18.13,69.89,0.7,0,0.83,2.26,4.08,17.8,18.84,18.04,18.84,116.59,49.13,67.28,41.32,0.71,0.83,0.56,0.57,0,0,0,0,1,2.18,1.44,0.74,2.06,1.85,1.89,1.89,5.82,6.75,6.15,7.51
2010,10,62,627,18.12,147.73,0.58,0,0.81,1.85,2.53,18.13,17.8,18.84,18.04,69.89,116.59,49.13,67.28,0.7,0.71,0.83,0.56,0,0,0,0,0.83,1,2.18,1.44,2.26,2.06,1.85,1.89,4.08,5.82,6.75,6.15
2010,11,63,692,17.96,132.45,0.57,0,1.32,2.14,3.42,18.12,18.13,17.8,18.84,147.73,69.89,116.59,49.13,0.58,0.7,0.71,0.83,0,0,0,0,0.81,0.83,1,2.18,1.85,2.26,2.06,1.85,2.53,4.08,5.82,6.75
2010,12,64,619,18.59,70.29,0.94,0,1.71,1.66,6.63,17.96,18.12,18.13,17.8,132.45,147.73,69.89,116.59,0.57,0.58,0.7,0.71,0,0,0,0,1.32,0.81,0.83,1,2.14,1.85,2.26,2.06,3.42,2.53,4.08,5.82
2010,13,65,544,18.02,218.32,0.69,0,4.42,1.87,4.05,18.59,17.96,18.12,18.13,70.29,132.45,147.73,69.89,0.94,0.57,0.58,0.7,0,0,0,0,1.71,1.32,0.81,0.83,1.66,2.14,1.85,2.26,6.63,3.42,2.53,4.08
2010,14,66,527,17.37,337.7,0.45,0,8.07,1.95,1.29,18.02,18.59,17.96,18.12,218.32,70.29,132.45,147.73,0.69,0.94,0.57,0.58,0,0,0,0,4.42,1.71,1.32,0.81,1.87,1.66,2.14,1.85,4.05,6.63,3.42,2.53
2010,15,67,546,17.38,131.2,0.37,0,1.65,1.63,0.54,17.37,18.02,18.59,17.96,337.7,218.32,70.29,132.45,0.45,0.69,0.94,0.57,0,0,0,0,8.07,4.42,1.71,1.32,1.95,1.87,1.66,2.14,1.29,4.05,6.63,3.42
2010,16,68,651,18.55,109.33,0.4,0,0.74,1.05,0.85,17.38,17.37,18.02,18.59,131.2,337.7,218.32,70.29,0.37,0.45,0.69,0.94,0,0,0,0,1.65,8.07,4.42,1.71,1.63,1.95,1.87,1.66,0.54,1.29,4.05,6.63
2010,17,69,627,17.66,287.39,0.36,0.01,2.32,1.43,1.1,18.55,17.38,17.37,18.02,109.33,131.2,337.7,218.32,0.4,0.37,0.45,0.69,0,0,0,0,0.74,1.65,8.07,4.42,1.05,1.63,1.95,1.87,0.85,0.54,1.29,4.05
2010,18,70,637,17.17,145.08,0.35,0,1.9,1.44,0.5,17.66,18.55,17.38,17.37,287.39,109.33,131.2,337.7,0.36,0.4,0.37,0.45,0.01,0,0,0,2.32,0.74,1.65,8.07,1.43,1.05,1.63,1.95,1.1,0.85,0.54,1.29
2010,19,71,658,18.14,103.57,0.27,0,0.23,0.86,0.41,17.17,17.66,18.55,17.38,145.08,287.39,109.33,131.2,0.35,0.36,0.4,0.37,0,0.01,0,0,1.9,2.32,0.74,1.65,1.44,1.43,1.05,1.63,0.5,1.1,0.85,0.54
2010,20,72,668,17.99,247.1,0.36,0.01,0.35,1.74,0.74,18.14,17.17,17.66,18.55,103.57,145.08,287.39,109.33,0.27,0.35,0.36,0.4,0,0,0.01,0,0.23,1.9,2.32,0.74,0.86,1.44,1.43,1.05,0.41,0.5,1.1,0.85
2010,21,73,623,16.93,305.65,0.3,0.01,0.28,1.47,0.33,17.99,18.14,17.17,17.66,247.1,103.57,145.08,287.39,0.36,0.27,0.35,0.36,0.01,0,0,0.01,0.35,0.23,1.9,2.32,1.74,0.86,1.44,1.43,0.74,0.41,0.5,1.1
2010,22,74,623,17.33,181.34,0.32,0.01,0.71,1.25,0.29,16.93,17.99,18.14,17.17,305.65,247.1,103.57,145.08,0.3,0.36,0.27,0.35,0.01,0.01,0,0,0.28,0.35,0.23,1.9,1.47,1.74,0.86,1.44,0.33,0.74,0.41,0.5
2010,23,75,521,17.2,114.8,0.34,0.01,0.73,0.85,0.39,17.33,16.93,17.99,18.14,181.34,305.65,247.1,103.57,0.32,0.3,0.36,0.27,0.01,0.01,0.01,0,0.71,0.28,0.35,0.23,1.25,1.47,1.74,0.86,0.29,0.33,0.74,0.41
2010,24,76,534,16.88,173.6,0.35,0.01,0.63,1.08,0.46,17.2,17.33,16.93,17.99,114.8,181.34,305.65,247.1,0.34,0.32,0.3,0.36,0.01,0.01,0.01,0.01,0.73,0.71,0.28,0.35,0.85,1.25,1.47,1.74,0.39,0.29,0.33,0.74
2010,25,77,470,16.67,209.44,0.32,0.01,0.39,1.34,0.31,16.88,17.2,17.33,16.93,173.6,114.8,181.34,305.65,0.35,0.34,0.32,0.3,0.01,0.01,0.01,0.01,0.63,0.73,0.71,0.28,1.08,0.85,1.25,1.47,0.46,0.39,0.29,0.33
2010,26,78,475,17.19,209.64,0.35,0.01,0.9,0.81,0.3,16.67,16.88,17.2,17.33,209.44,173.6,114.8,181.34,0.32,0.35,0.34,0.32,0.01,0.01,0.01,0.01,0.39,0.63,0.73,0.71,1.34,1.08,0.85,1.25,0.31,0.46,0.39,0.29
2010,27,79,485,16.4,152.26,0.38,0.01,1,0.97,0.18,17.19,16.67,16.88,17.2,209.64,209.44,173.6,114.8,0.35,0.32,0.35,0.34,0.01,0.01,0.01,0.01,0.9,0.39,0.63,0.73,0.81,1.34,1.08,0.85,0.3,0.31,0.46,0.39
2010,28,80,466,16.1,190.32,0.31,0.01,1.39,1.46,0.19,16.4,17.19,16.67,16.88,152.26,209.64,209.44,173.6,0.38,0.35,0.32,0.35,0.01,0.01,0.01,0.01,1,0.9,0.39,0.63,0.97,0.81,1.34,1.08,0.18,0.3,0.31,0.46
2010,29,81,419,16.94,99.55,0.34,0,0.41,0.92,0.27,16.1,16.4,17.19,16.67,190.32,152.26,209.64,209.44,0.31,0.38,0.35,0.32,0.01,0.01,0.01,0.01,1.39,1,0.9,0.39,1.46,0.97,0.81,1.34,0.19,0.18,0.3,0.31
